자치구,동,한식음식점업,용달 및 개별화물 자동차운송업,부동산자문 및 중개업,의류점,기타주점업,두발미용업,슈퍼마켓,분식 및 김밥전문점,비알콜 음료점,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨 전문점,자동차 전문 수리업,과실 및 채소소매업,육류 소매업,중국 음식점업,당구장 운영업,제과점업,컴퓨터게임방 운영업
동대문구,소계,2077,1722,703,889,756,602,524,414,467,271,227,292,168,263,661,195,136,90,120,66
동대문구,용신동,367,103,103,115,75,48,89,44,63,28,26,41,14,30,28,14,21,11,9,5
동대문구,이문1동,143,90,56,25,76,56,31,54,56,29,16,27,20,9,9,7,17,7,14,9
동대문구,이문2동,33,75,31,6,22,21,10,6,9,11,5,12,6,X,4,6,3,X,3,X
동대문구,장안1동,262,191,91,80,80,72,47,36,39,38,31,38,16,102,9,18,15,15,11,8
동대문구,장안2동,226,168,64,155,75,76,44,44,38,30,30,26,21,22,6,19,12,15,12,6
동대문구,전농1동,176,123,55,278,55,68,40,45,46,20,24,24,17,19,12,16,7,8,17,7
동대문구,전농2동,28,77,18,13,16,30,16,24,19,14,9,15,5,3,3,X,8,4,6,X
동대문구,제기동,250,83,63,34,117,41,103,35,36,20,7,20,12,28,542,69,16,X,8,5
동대문구,청량리동,153,91,39,59,56,42,42,26,24,15,16,10,14,3,24,10,8,7,5,4
동대문구,회기동,116,15,20,41,69,25,14,28,61,9,21,18,11,X,4,X,13,7,11,5
동대문구,휘경1동,85,44,23,16,33,30,18,25,23,13,9,18,8,4,5,13,4,X,7,5
동대문구,휘경2동,37,440,35,6,10,23,18,18,18,14,4,13,11,4,3,4,3,4,7,X
동작구,노량진1동,143,73,68,27,54,49,39,48,92,22,21,33,21,3,6,9,13,9,15,26
동작구,노량진2동,84,34,33,24,45,29,24,23,25,12,8,15,8,-,6,5,11,4,4,7
동작구,대방동,80,62,58,28,46,36,30,23,28,21,17,22,17,15,5,6,9,5,12,5
동작구,사당1동,147,66,75,43,74,43,17,20,39,20,14,23,14,8,6,8,13,7,15,5
동작구,사당2동,129,58,57,51,87,57,20,30,40,23,12,19,12,3,18,11,13,7,14,7
동작구,사당3동,48,60,37,13,24,30,14,8,14,13,13,8,13,10,7,6,X,X,4,-
동작구,사당4동,33,48,22,21,11,28,13,13,7,16,7,7,7,-,13,10,X,X,8,X
동작구,사당5동,20,49,16,X,3,24,11,4,9,8,6,3,6,5,3,4,X,X,-,X
동작구,상도1동,109,80,74,30,64,56,26,33,59,20,15,32,15,16,11,11,11,10,17,13
동작구,상도2동,83,55,73,46,28,43,16,21,16,16,12,15,12,7,11,9,4,6,11,5
동작구,상도3동,44,80,38,42,19,40,16,14,11,16,11,7,11,X,9,9,6,4,5,4
동작구,상도4동,49,100,33,21,22,38,20,13,18,13,14,10,14,X,9,11,4,X,X,3
동작구,소계,1271,924,737,438,610,603,323,318,459,255,183,243,183,88,129,118,123,77,136,93
동작구,신대방1동,56,42,45,34,26,41,22,17,13,18,11,11,11,5,8,10,11,X,6,3
동작구,신대방2동,108,47,38,14,25,35,15,23,39,13,8,18,8,7,3,X,9,8,9,5
동작구,흑석동,138,70,70,42,82,54,40,28,49,24,14,20,14,6,14,8,13,10,14,7
마포구,공덕동,197,104,105,22,66,72,44,29,47,28,14,19,17,4,16,19,15,8,7,5
마포구,대흥동,123,45,60,11,59,38,25,33,48,10,10,31,15,9,4,6,10,3,10,8
마포구,도화동,136,43,63,26,59,36,17,26,44,20,22,16,14,X,9,8,14,3,6,3
마포구,망원1동,93,103,49,35,33,44,12,21,32,16,16,17,13,11,16,11,4,7,11,3
마포구,망원2동,81,97,39,36,36,50,12,17,22,17,14,15,11,5,12,10,8,4,7,3
마포구,상암동,216,80,70,15,38,30,27,34,112,17,6,38,22,X,X,5,20,6,18,X
마포구,서강동,127,52,81,32,57,51,16,22,86,14,3,29,16,9,3,3,9,X,26,5
마포구,서교동,661,53,174,402,553,217,49,106,491,17,78,85,43,10,8,12,50,22,76,16
마포구,성산1동,67,71,39,15,16,24,18,12,31,14,12,15,9,13,X,3,7,X,5,3
마포구,성산2동,89,131,56,106,23,39,27,28,29,18,4,19,13,12,28,9,9,6,11,X
마포구,소계,2360,1072,1070,834,1233,804,353,429,1180,246,229,384,233,127,132,119,205,77,235,59
마포구,신수동,66,50,47,7,18,28,16,17,17,13,3,15,13,10,X,4,6,3,7,X
마포구,아현동,99,38,90,42,42,38,28,16,36,15,X,17,11,5,17,11,7,-,14,X
마포구,연남동,81,47,41,22,76,35,13,16,50,9,6,17,5,9,-,5,21,X,12,X
마포구,염리동,37,41,23,13,20,30,19,15,14,9,6,6,13,4,11,5,4,X,6,-
마포구,용강동,164,30,78,11,62,30,17,25,46,15,21,21,10,10,X,5,10,6,8,3
마포구,합정동,123,87,55,39,75,42,13,12,75,14,12,24,8,13,X,3,11,4,11,4
서대문구,남가좌1동,73,22,27,55,43,9,23,11,4,X,5,3,3,-,30,15,3,X,X,-
서대문구,남가좌2동,98,79,64,32,52,61,32,30,34,17,19,9,17,12,5,16,8,11,8,6
서대문구,북가좌1동,18,91,21,X,5,17,10,11,4,8,-,11,9,7,X,X,-,X,6,X
서대문구,북가좌2동,81,155,67,26,50,70,29,25,21,28,15,18,20,13,5,11,8,11,10,8
서대문구,북아현동,38,67,47,9,13,10,24,4,7,8,3,4,6,X,3,4,X,X,X,-
서대문구,소계,1352,967,582,497,681,560,347,351,543,207,153,221,151,104,160,119,111,86,146,59
서대문구,신촌동,358,15,80,170,258,126,47,85,251,19,53,64,27,X,5,7,35,18,47,18
서대문구,연희동,119,117,61,51,50,61,33,33,74,30,9,30,14,27,9,6,23,7,21,4
서대문구,천연동,79,36,32,26,22,25,18,24,15,10,6,8,7,4,13,11,X,3,4,X
서대문구,충현동,177,17,45,14,52,25,26,37,60,15,9,25,4,4,5,X,9,8,7,3
서대문구,홍은1동,50,80,26,22,20,34,26,20,9,14,3,5,12,5,10,9,4,3,6,3
서대문구,홍은2동,74,108,30,12,33,29,29,25,31,17,4,17,6,17,X,5,5,7,9,7
서대문구,홍제1동,64,76,31,19,28,40,19,16,13,15,9,11,11,5,6,7,3,X,8,3
서대문구,홍제2동,29,25,25,12,18,22,7,8,6,9,7,4,4,-,X,6,X,3,4,4
서대문구,홍제3동,94,79,26,47,37,31,24,22,14,16,11,12,11,6,65,18,7,7,12,X
서초구,내곡동,33,48,22,4,X,X,11,X,7,4,X,6,3,-,X,X,X,-,X,-
서초구,반포1동,95,10,89,49,37,48,17,27,43,22,11,22,18,6,3,4,6,3,12,9
서초구,반포2동,7,7,38,14,X,22,7,16,8,7,-,7,X,-,3,4,X,-,4,-
서초구,반포3동,40,4,59,53,8,19,14,12,18,6,5,X,9,4,-,4,6,X,9,3
서초구,반포4동,137,6,35,550,36,32,31,40,92,13,9,34,3,4,6,7,19,4,35,3
서초구,반포본동,22,X,28,76,15,20,11,14,17,8,X,X,6,3,9,5,5,-,8,X
서초구,방배1동,98,20,69,29,34,37,14,18,40,17,21,11,10,4,X,10,14,8,8,8
서초구,방배2동,149,54,85,24,47,40,18,14,46,19,16,18,8,13,X,12,9,9,9,5
서초구,방배3동,36,34,46,12,7,25,19,12,20,18,-,12,3,5,X,3,4,X,7,-
서초구,방배4동,113,34,98,21,19,57,14,33,36,21,11,19,8,29,5,6,10,5,11,X
서초구,방배본동,108,19,45,36,34,50,15,20,44,16,16,14,7,8,3,7,7,3,15,3
서초구,서초1동,164,12,126,28,35,42,21,34,89,20,14,27,17,22,3,6,16,7,16,6
서초구,서초2동,191,10,172,48,32,50,26,43,95,16,12,29,22,4,3,X,19,5,17,4
서초구,서초3동,415,30,209,40,110,43,37,51,155,28,54,58,20,20,3,8,32,22,32,6
서초구,서초4동,170,4,90,59,81,35,22,39,81,20,15,30,14,X,4,5,14,9,21,3
서초구,소계,2459,482,1503,1250,686,634,354,466,1022,306,296,394,214,210,56,107,208,121,253,67
서초구,양재1동,208,100,86,33,70,46,24,29,100,27,32,41,24,29,3,9,17,17,24,5
서초구,양재2동,293,68,106,156,56,35,32,39,85,19,51,36,21,52,X,9,17,20,13,7
서초구,잠원동,180,21,100,18,62,31,21,24,46,25,27,26,19,6,4,5,11,6,10,X
성동구,금호1가동,33,40,21,3,7,22,7,5,9,11,3,5,X,3,X,X,X,X,X,3
성동구,금호2.3가동,88,79,41,39,28,48,18,14,15,17,5,8,9,X,5,9,6,4,6,X
성동구,금호4가동,47,30,30,20,26,21,13,7,10,8,8,6,4,X,4,X,5,X,5,3
성동구,마장동,133,101,34,3,29,28,41,16,17,16,6,12,9,15,6,47,6,8,4,3
