자치구,동,주택 수 합계,단독주택,다가구주택,영업겸용,아파트,연립주택,다세대주택,비거주용건물내주택
영등포구,당산1동,5410,195,440,253,4083,15,305,119
영등포구,당산2동,10367,68,220,86,9193,22,706,72
영등포구,대림1동,3054,87,1059,134,1035,144,518,77
영등포구,대림2동,3607,52,1287,158,937,246,849,78
영등포구,대림3동,7041,50,884,252,4191,56,1489,119
영등포구,도림동,3875,166,1018,123,1537,126,856,49
영등포구,문래동,8012,184,19,55,7669,36,X,49
영등포구,소계,96195,3134,11842,2330,65088,1562,11112,1127
영등포구,신길1동,4061,268,1414,179,1250,137,774,39
영등포구,신길3동,4153,190,995,157,2559,X,206,46
영등포구,신길4동,2525,78,661,102,1213,X,437,34
영등포구,신길5동,3022,267,1151,92,610,146,720,36
영등포구,신길6동,5496,361,880,118,3356,172,551,58
영등포구,신길7동,3896,99,361,51,2884,100,365,36
영등포구,양평1동,3901,385,184,135,2884,45,200,68
영등포구,양평2동,6564,75,150,82,4653,155,1375,74
영등포구,여의도동,10127,X,X,X,10127,X,X,X
영등포구,영등포동,4809,287,271,198,3364,92,468,129
영등포구,영등포본동,6275,322,848,155,3543,70,1293,44
용산구,남영동,1721,326,264,100,440,89,472,30
용산구,보광동,3614,585,1295,170,550,81,895,38
용산구,서빙고동,4201,277,304,64,2611,250,688,7
용산구,소계,70723,5691,8038,1774,35343,4029,15206,642
용산구,용문동,3806,159,237,128,2282,97,880,23
용산구,용산2가동,3326,202,824,159,375,126,1615,25
용산구,원효로1동,4663,271,284,116,3384,43,496,69
용산구,원효로2동,4489,192,318,79,3223,118,532,27
용산구,이촌1동,9531,X,X,X,9500,19,11,X
용산구,이촌2동,3391,13,14,32,2773,177,374,8
용산구,이태원1동,2211,314,451,109,712,246,329,50
용산구,이태원2동,3111,320,806,91,705,228,921,40
용산구,청파동,5235,710,1059,259,74,472,2587,74
용산구,한강로동,5212,631,228,99,3719,104,344,87
용산구,한남동,8050,704,807,201,3414,1093,1760,71
용산구,효창동,2967,303,326,55,963,304,982,34
용산구,후암동,5195,684,821,112,618,582,2320,58
은평구,갈현1동,6776,701,644,182,713,492,3935,109
은평구,갈현2동,8472,352,481,195,1345,405,5569,125
은평구,구산동,9417,334,411,167,2604,698,5138,65
은평구,녹번동,9309,262,778,197,2819,565,4595,93
은평구,대조동,9208,435,872,278,1621,241,5638,123
은평구,불광1동,13050,435,608,158,7254,496,4014,85
은평구,불광2동,7706,603,1025,173,778,456,4597,74
은평구,소계,140330,6016,9813,2753,50419,6886,63059,1384
은평구,수색동,5613,508,489,85,2338,411,1713,69
은평구,신사1동,8358,211,284,163,2545,539,4552,64
은평구,신사2동,6039,413,597,138,2312,383,2137,59
은평구,역촌동,13614,418,925,388,1672,620,9403,188
은평구,응암1동,8699,307,621,170,2623,564,4327,87
은평구,응암2동,6956,412,585,100,3751,148,1914,46
은평구,응암3동,6231,247,931,248,835,135,3702,133
은평구,증산동,5450,277,555,97,1933,733,1803,52
은평구,진관동,15432,101,7,14,15276,X,22,12
종로구,가회동,1646,577,114,59,X,137,741,18
종로구,교남동,1527,116,114,21,112,88,1072,X
종로구,무악동,"2,870",106,20,34,"2,590",55,50,15
종로구,부암동,"2,957",807,222,63,121,902,806,36
종로구,사직동,"2,771",533,128,68,"1,532",78,386,46
종로구,삼청동,799,514,131,69,X,19,41,25
종로구,소계,"43,550","7,498","4,191","1,414","12,552","5,395","11,664",836
종로구,숭인1동,1554,348,286,53,654,15,170,28
종로구,숭인2동,3081,204,180,62,1394,241,936,64
종로구,이화동,2725,398,299,111,189,266,1393,69
종로구,종로1.2.3.4가동,1613,359,98,106,932,28,26,64
종로구,종로5·6가동,1116,363,282,124,102,X,90,151
종로구,창신1동,1528,208,191,126,832,16,116,39
종로구,창신2동,2445,283,503,122,328,91,1082,36
종로구,창신3동,2152,107,178,30,1735,35,58,9
종로구,청운효자동,4149,912,331,106,261,783,1701,55
종로구,평창동,"5,754","1,065",335,133,936,"2,180","1,044",61
종로구,혜화동,4863,598,779,127,834,457,1952,116
중구,광희동,1445,297,134,71,822,X,80,38
중구,다산동,4267,335,468,93,472,711,2119,69
중구,동화동,3085,52,115,64,2609,111,69,65
중구,명동,519,91,73,53,250,X,23,29
중구,소계,37478,2722,2600,1114,22186,1975,6148,733
중구,소공동,380,14,X,X,355,X,X,10
중구,신당5동,2457,204,361,116,1336,107,278,55
중구,신당동,1996,453,398,129,586,51,309,70
중구,약수동,6508,55,108,28,5344,395,560,18
중구,을지로동,436,78,X,35,264,X,X,55
중구,장충동,2431,219,132,57,201,278,1494,50
중구,중림동,2764,156,122,35,1890,55,482,24
중구,청구동,4842,188,233,66,3844,115,347,49
중구,필동,956,191,121,87,279,90,140,48
중구,황학동,3610,231,242,241,2589,16,170,121
중구,회현동,1782,158,88,39,1345,43,77,32
중랑구,망우3동,3115,141,1147,181,61,117,1400,68
중랑구,망우본동,7121,238,1417,325,3254,419,1302,166
중랑구,면목2동,6074,130,1209,279,2444,234,1595,183
중랑구,면목3.8동,5831,224,1438,335,1942,455,1323,114
중랑구,면목4동,5385,111,881,156,2867,219,1084,67
