자치구,동,계,1인가구,2인가구,3인가구,4인가구,5인가구,6인가구,7인이상 가구,2인이상 가구,1인가구 비율
종로구,소계,"61,580","22,776","15,314","11,272","8,840","2,535",628,215,"38,804",0.3699
종로구,숭인1동,"2,740",931,734,522,408,108,29,8,"1,809",0.3398
종로구,숭인2동,"4,478","2,206","1,080",598,450,113,21,10,"2,272",0.4926
종로구,이화동,"3,981","1,880",907,581,453,121,30,9,"2,101",0.4722
종로구,종로1.2.3.4가동,"3,733","2,299",820,321,208,56,18,11,"1,434",0.6159
종로구,종로5·6가동,"2,376","1,100",597,335,258,73,10,X,"1,273",0.4630
종로구,창신1동,"2,465","1,029",641,413,267,97,15,X,"1,433",0.4174
종로구,창신2동,"3,774","1,211",997,731,606,174,41,14,"2,563",0.3209
종로구,창신3동,"2,635",508,714,691,506,169,37,10,"2,127",0.1928
종로구,청운효자동,"4,920","1,232","1,258","1,104",965,260,79,22,"3,688",0.2504
종로구,평창동,"6,310","1,252","1,709","1,573","1,248",388,105,35,"5,058",0.1984
종로구,혜화동,"9,119","4,894","1,745","1,178",919,287,74,22,"4,225",0.5367
중구,광희동,"2,269","1,133",561,293,215,51,13,X,"1,133",0.4993
중구,다산동,"6,103","2,000","1,681","1,156",908,265,73,20,"4,103",0.3277
중구,동화동,"3,774",688,881,"1,015",869,234,63,24,"3,086",0.1823
중구,명동,"1,191",657,257,158,93,19,5,X,532,0.5516
중구,소계,"51,205","19,161","13,157","9,392","6,987","1,879",483,146,"32,044",0.3742
중구,소공동,517,263,122,76,41,9,6,X,254,0.5087
중구,신당5동,"4,143","1,492","1,041",781,596,184,37,12,"2,651",0.3601
중구,신당동,"3,401","1,613",806,497,353,103,21,8,"1,788",0.4743
중구,약수동,"7,118","1,887","2,111","1,623","1,140",266,76,15,"5,231",0.2651
중구,을지로동,914,589,209,64,37,13,X,X,323,0.6444
중구,장충동,"2,675","1,403",597,347,225,81,16,6,"1,272",0.5245
중구,중림동,"3,541","1,322",914,661,471,123,38,12,"2,219",0.3733
중구,청구동,"5,747","1,613","1,570","1,218","1,008",258,59,21,"4,134",0.2807
중구,필동,"2,168","1,199",472,264,167,46,15,5,969,0.5530
중구,황학동,"5,301","2,128","1,360",926,656,176,43,12,"3,173",0.4014
중구,회현동,"2,343","1,174",575,313,208,51,17,5,"1,169",0.5011
중랑구,망우3동,"7,150","2,216","1,905","1,528","1,147",254,81,19,"4,934",0.3099
중랑구,망우본동,"12,774","3,820","3,329","2,771","2,168",530,123,33,"8,954",0.2990
중랑구,면목2동,"10,703","3,369","2,745","2,238","1,777",438,107,29,"7,334",0.3148
중랑구,면목3.8동,"11,422","3,756","2,944","2,350","1,817",398,125,32,"7,666",0.3288
중랑구,면목4동,"8,295","2,292","2,207","1,892","1,425",366,94,19,"6,003",0.2763
중랑구,면목5동,"4,602","1,397","1,230",993,735,191,42,14,"3,205",0.3036
중랑구,면목7동,"9,302","2,839","2,401","1,999","1,544",389,102,28,"6,463",0.3052
중랑구,면목본동,"14,836","5,225","3,793","2,878","2,251",534,124,31,"9,611",0.3522
